LATITUDE,LONGITUDE,ID
53.3445,-6.2334,658mb
53.3625,-6.23701,659mb
53.3252,-6.25521,660mb
53.3433,-6.27591,661mb
53.3414,-6.26455,662mb
53.3458,-6.25696,663mb
53.3768,-6.27009,664mb
53.3446,-6.26733,665mb
53.3385,-6.24297,666mb
53.2964,-6.18443,667mb
53.3523,-6.26015,668mb
53.317,-6.21502,669mb
53.3608,-6.27237,670mb
53.2945,-6.1346,671mb
53.3558,-6.25758,672mb
53.3774,-6.27053,673mb
53.3254,-6.25514,674mb
53.3447,-6.23325,675mb
53.3329,-6.27471,676mb
53.3557,-6.25751,677mb
53.3252,-6.25522,678mb
53.3433,-6.27592,679mb
53.3413,-6.26465,680mb
53.308,-6.22889,681mb
53.329,-6.27593,682mb
53.3457,-6.25686,683mb
53.3769,-6.27004,684mb
53.3445,-6.26006,685mb
53.3172,-6.21492,686mb
53.2946,-6.13453,687mb
53.3451,-6.2381,688mb
53.3774,-6.27052,689mb
53.3254,-6.25512,690mb
53.3557,-6.25753,691mb
53.3447,-6.23317,692mb
53.377,-6.26966,693mb
53.3329,-6.27474,694mb
53.345,-6.23816,695mb
53.3433,-6.27588,696mb
53.3758,-6.24033,697mb
53.3413,-6.26464,698mb
53.308,-6.22884,699mb
53.3332,-6.24406,700mb
53.3457,-6.25694,701mb
53.3771,-6.26977,702mb
53.3523,-6.26012,703mb
53.3168,-6.2151,704mb
53.343,-6.27703,705mb
53.3559,-6.25756,706mb
53.3771,-6.26982,707mb
53.3445,-6.23341,708mb
53.377,-6.26969,709mb
53.295,-6.2029,710mb
53.2949,-6.20286,711mb
53.345,-6.23817,712mb
53.3769,-6.26976,713mb
53.3333,-6.244,714mb
53.3458,-6.25686,715mb
53.3771,-6.26978,716mb
53.3445,-6.26007,717mb
53.3383,-6.24302,718mb
53.3168,-6.21499,719mb
53.343,-6.27698,720mb
53.2962,-6.18435,721mb
53.3657,-6.32251,722mb
53.3457,-6.23795,723mb
53.3629,-6.25875,724mb
53.3254,-6.25511,725mb
53.3816,-6.24173,726mb
53.3444,-6.23357,727mb
53.2949,-6.20291,728mb
53.2949,-6.20287,729mb
53.3413,-6.28374,730mb
53.3557,-6.25752,731mb
53.3769,-6.26977,732mb
53.3757,-6.24028,733mb
53.3414,-6.26458,734mb
53.3413,-6.2837,735mb
53.3333,-6.2439,736mb
53.3456,-6.25697,737mb
53.3771,-6.26979,738mb
53.3118,-6.27467,739mb
53.3385,-6.24312,740mb
53.2943,-6.13379,741mb
53.3341,-6.26559,742mb
53.3429,-6.27709,743mb
53.2962,-6.18436,744mb
53.2946,-6.13449,745mb
53.3457,-6.23808,746mb
53.3815,-6.24183,747mb
53.3447,-6.23315,748mb
53.3413,-6.28369,749mb
53.3631,-6.23584,750mb
53.3252,-6.25523,751mb
53.3433,-6.27587,752mb
53.3757,-6.2403,753mb
53.3415,-6.26462,754mb
53.3333,-6.24388,755mb
53.3457,-6.25691,756mb
53.3118,-6.2747,757mb
53.3385,-6.24309,758mb
53.3308,-6.26036,759mb
53.3661,-6.2717,760mb
53.3456,-6.23796,761mb
53.3254,-6.25508,762mb
53.345,-6.23321,763mb
53.295,-6.20271,764mb
53.3328,-6.27522,765mb
53.2949,-6.20278,766mb
53.3631,-6.23582,767mb
53.345,-6.2381,768mb
53.3432,-6.27583,769mb
53.3414,-6.26456,770mb
53.3413,-6.28368,771mb
53.3333,-6.24387,772mb
53.3457,-6.25697,773mb
53.3119,-6.27471,774mb
53.3292,-6.23179,775mb
53.3308,-6.2604,776mb
53.3342,-6.26559,777mb
53.3661,-6.27169,778mb
53.2964,-6.1844,779mb
53.2945,-6.13457,780mb
53.3456,-6.23792,781mb
53.3254,-6.25509,782mb
53.3557,-6.25759,783mb
53.345,-6.23331,784mb
53.2949,-6.20281,785mb
53.333,-6.27477,786mb
53.3631,-6.23576,787mb
53.3433,-6.27585,788mb
53.3757,-6.24036,789mb
53.3414,-6.2646,790mb
53.3414,-6.2837,791mb
53.3334,-6.2439,792mb
53.3458,-6.25691,793mb
53.3119,-6.27473,794mb
53.3291,-6.23171,795mb
53.2963,-6.18445,796mb
53.3308,-6.26041,797mb
53.3342,-6.26547,798mb
53.2964,-6.18439,799mb
53.2946,-6.13455,800mb
53.3558,-6.25755,801mb
53.3558,-6.25759,802mb
